MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,TERRTYPO,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_ni,NAT,FR5,I551TOI553,2016,NCST_A,14401046,A,F,NR,
occ_ni,NAT,FR51,I551TOI553,2016,NCST_A,7192507,A,F,NR,
occ_ni,NAT,FR52,I551TOI553,2016,NCST_A,2612986,A,F,NR,
occ_ni,NAT,FR53,I551TOI553,2016,NCST_A,4595554,A,F,NR,
occ_ni,NAT,FR6,I551TOI553,2016,NCST_A,26909562,A,F,NR,
occ_ni,NAT,FR61,I551TOI553,2016,NCST_A,11671556,A,F,NR,
occ_ni,NAT,FR62,I551TOI553,2016,NCST_A,13102256,A,F,NR,
occ_ni,NAT,FR63,I551TOI553,2016,NCST_A,2135750,A,F,NR,
occ_ni,NAT,FR7,I551TOI553,2016,NCST_A,40938848,A,F,NR,
occ_ni,NAT,FR71,I551TOI553,2016,NCST_A,35064883,A,F,NR,
occ_ni,NAT,FR72,I551TOI553,2016,NCST_A,5873966,A,F,NR,
occ_ni,NAT,FR8,I551TOI553,2016,NCST_A,23355746,A,F,NR,
occ_ni,NAT,FR81,I551TOI553,2016,NCST_A,9105068,A,F,NR,
occ_ni,NAT,FR82,I551TOI553,2016,NCST_A,14056083,A,F,NR,
occ_ni,NAT,FR83,I551TOI553,2016,NCST_A,194595,U,N,NR,
occ_ni,NAT,FRA1,I551TOI553,2016,NCST_A,0,A,F,NR,
occ_ni,NAT,FRA2,I551TOI553,2016,NCST_A,0,A,F,NR,
occ_ni,NAT,FRA5,I551TOI553,2016,NCST_A,0,A,F,NR,
occ_ni,NAT,FR,I551,2016,CST_A,31063859,A,F,NR,
occ_ni,NAT,FR,I551,2016,NCST_A,102567822,A,F,NR,
occ_ni,NAT,FR,I552,2016,CST_A,25028917,A,F,NR,
occ_ni,NAT,FR,I552,2016,NCST_A,45960643,A,F,NR,
occ_ni,NAT,FR,I553,2016,CST_A,47940991,A,F,NR,
occ_ni,NAT,FR,I553,2016,NCST_A,28287784,A,F,NR,
occ_ni,FOR,FR,I551TOI553,2016,CST_A,34086344,A,F,NR,
occ_ni,FOR,FR1,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR10,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR2,I551TOI553,2016,CST_A,2482217,A,F,NR,
occ_ni,FOR,FR21,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR22,I551TOI553,2016,CST_A,282140,A,F,NR,
occ_ni,FOR,FR23,I551TOI553,2016,CST_A,406348,A,F,NR,
occ_ni,FOR,FR24,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR25,I551TOI553,2016,CST_A,1793728,A,F,NR,
occ_ni,FOR,FR26,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR3,I551TOI553,2016,CST_A,979834,A,F,NR,
occ_ni,FOR,FR30,I551TOI553,2016,CST_A,979834,A,F,NR,
occ_ni,FOR,FR4,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR41,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR42,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR43,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR5,I551TOI553,2016,CST_A,6314143,A,F,NR,
occ_ni,FOR,FR51,I551TOI553,2016,CST_A,1487704,A,F,NR,
occ_ni,FOR,FR52,I551TOI553,2016,CST_A,3324926,A,F,NR,
occ_ni,FOR,FR53,I551TOI553,2016,CST_A,1501513,A,F,NR,
occ_ni,FOR,FR6,I551TOI553,2016,CST_A,4249350,A,F,NR,
occ_ni,FOR,FR61,I551TOI553,2016,CST_A,4249350,A,F,NR,
occ_ni,FOR,FR62,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR63,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR7,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR71,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR72,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,FOR,FR8,I551TOI553,2016,CST_A,19367039,A,F,NR,
occ_ni,FOR,FR81,I551TOI553,2016,CST_A,5042915,A,F,NR,
occ_ni,FOR,FR82,I551TOI553,2016,CST_A,11228571,A,F,NR,
occ_ni,FOR,FR83,I551TOI553,2016,CST_A,3095554,A,F,NR,
occ_ni,FOR,FRA,I551TOI553,2016,CST_A,693761,A,F,NR,
occ_ni,FOR,FRA1,I551TOI553,2016,CST_A,210591,U,N,NR,
occ_ni,FOR,FRA2,I551TOI553,2016,CST_A,229109,U,N,NR,
occ_ni,FOR,FRA4,I551TOI553,2016,CST_A,126123,A,F,NR,
occ_ni,FOR,FR,I551TOI553,2016,NCST_A,89827067,A,F,NR,
occ_ni,FOR,FR1,I551TOI553,2016,NCST_A,38267721,A,F,NR,
occ_ni,FOR,FR10,I551TOI553,2016,NCST_A,38267721,A,F,NR,
occ_ni,FOR,FR2,I551TOI553,2016,NCST_A,8084207,A,F,NR,
occ_ni,FOR,FR21,I551TOI553,2016,NCST_A,1322856,A,F,NR,
occ_ni,FOR,FR22,I551TOI553,2016,NCST_A,1190576,A,F,NR,
occ_ni,FOR,FR23,I551TOI553,2016,NCST_A,549778,A,F,NR,
occ_ni,FOR,FR24,I551TOI553,2016,NCST_A,2112560,A,F,NR,
occ_ni,FOR,FR25,I551TOI553,2016,NCST_A,546146,A,F,NR,
occ_ni,FOR,FR26,I551TOI553,2016,NCST_A,2362291,A,F,NR,
occ_ni,FOR,FR3,I551TOI553,2016,NCST_A,1290027,A,F,NR,
occ_ni,FOR,FR30,I551TOI553,2016,NCST_A,1290027,A,F,NR,
occ_ni,FOR,FR4,I551TOI553,2016,NCST_A,6779415,A,F,NR,
occ_ni,FOR,FR41,I551TOI553,2016,NCST_A,2007094,A,F,NR,
occ_ni,FOR,FR42,I551TOI553,2016,NCST_A,3623744,A,F,NR,
occ_ni,FOR,FR43,I551TOI553,2016,NCST_A,1148576,A,F,NR,
occ_ni,FOR,FR5,I551TOI553,2016,NCST_A,2861172,A,F,NR,
occ_ni,FOR,FR51,I551TOI553,2016,NCST_A,1468745,A,F,NR,
occ_ni,FOR,FR52,I551TOI553,2016,NCST_A,629312,A,F,NR,
occ_ni,FOR,FR53,I551TOI553,2016,NCST_A,763115,A,F,NR,
occ_ni,FOR,FR6,I551TOI553,2016,NCST_A,8330560,A,F,NR,
occ_ni,FOR,FR61,I551TOI553,2016,NCST_A,3495705,A,F,NR,
occ_ni,FOR,FR62,I551TOI553,2016,NCST_A,4400446,A,F,NR,
occ_ni,FOR,FR63,I551TOI553,2016,NCST_A,434409,A,F,NR,
occ_ni,FOR,FR7,I551TOI553,2016,NCST_A,14868403,A,F,NR,
